id,type,code,product_tmpl_id/id,product_tmpl_id/name,product_qty,product_uom_id,bom_line_ids/product_id/id,bom_line_ids/product_id/name,bom_line_ids/product_qty,bom_line_ids/product_uom_id,byproduct_ids,,,,,,,
__export__.mrp_bom_2_18cae1a4,Manufacture this product,,__export__.product_template_689_333bba23,Roasted Cacao nibs test,1,g,__export__.product_product_651_6c232eb1,Unroasted Cacao nibs test,1,g,Cacao shell test,,,,,,,
__export__.mrp_bom_1_67f628c5,Manufacture this product,,__export__.product_template_687_4d225c03,Chocolate base test,1,kg,__export__.product_product_647_79f211f7,Sugar test,150,g,,,,,,,,
,,,,,,,__export__.product_product_650_7356d172,Roasted Cacao nibs test,850,Units,,,,,,,,
__export__.mrp_bom_3_38459e73,Manufacture this product,,__export__.product_template_692_3c61fb41,Unwrap Chocolate Bar test,1,Units,__export__.product_product_648_ab2356e9,Chocolate base test,1,g,,,,,,,,
__export__.mrp_bom_4_ec6f762d,Manufacture this product,,__export__.product_template_693_83ed415e,Chocolate bar test,1,Units,__export__.product_product_653_fce1f2cb,Unwrap Chocolate Bar test,1,Units,,,,,,,,
,,,,,,,__export__.product_product_655_1e249048,Paper wrap test,1,Units,,,,,,,,
,,,,,,,__export__.product_product_656_80a76168,Box test,1,Units,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Finished Goods,quantity,unit,BOM/Component,quantity,unit,Operation,Work Center,Note,,,,,,,,,,
Cacao Nibs - Raw Material,1,kg,Cacao Beans,1.25,kg,Roast cacao beans,roaster,makes raw material nibs,,,,,,,,,,
,,,,,,Winnow cacao beans,winnower,,,,,,,,,,,
Base - 70% Dark Chocolate,1,kg,Cacao Nibs - Raw Material,650,g,prerefine,grinder,Store base chocolate in RM room,,,,,,,,,,
,,,Organic Cane Sugar,300,g,add ingredients to grinder,,,,,,,,,,,,
,,,Cacao Butter,50,g,,,,,,,,,,,,,
Base - 85% Dark Chocolate,1,kg,Cacao Nibs - Raw Material,850,g,prerefine,grinder,Store base chocolate in RM room,,,,,,,,,,
,,,Organic Cane Sugar,150,g,add ingredients to grinder,,,,,,,,,,,,
Base - Milk Chocolate,1,kg,Cacao Nibs - Raw Material,400,g,prerefine,grinder,Store base chocolate in RM room,,,,,,,,,,
,,,Organic Cane Sugar,350,g,add ingredients to grinder,,,,,,,,,,,,
,,,Cacao Butter,100,g,,,,,,,,,,,,,
,,,Powdered Milk,150,g,,,,,,,,,,,,,
,,,Sunflower Lecithin,3,g,,,,,,,,,,,,,
Base - Coconut Milk Chocolate,1,kg,Cacao Nibs - Raw Material,620,g,prerefine,grinder,Store base chocolate in RM room,,,,,,,,,,
,,,Organic Cane Sugar,250,g,add ingredients to grinder,,,,,,,,,,,,
,,,Cacao Butter,30,g,,,,,,,,,,,,,
,,,Coconut Milk Powder,100,g,,,,,,,,,,,,,
Base - Pomelo,1,kg,Cacao Nibs - Raw Material,710,g,prerefine,grinder,Store base chocolate in RM room,,,,,,,,,,
,,,Organic Cane Sugar,270,g,add ingredients to grinder,,,,,,,,,,,,
,,,Coffee Beans,20,g,,,,,,,,,,,,,
Base - Sugar Free,1,kg,Cacao Nibs - Raw Material,850,g,prerefine,grinder,Store base chocolate in RM room,,,,,,,,,,
,,,Powdered Milk,150,g,add ingredients to grinder,,,,,,,,,,,,
Cacao Mass (1kg),1,kg,Cacao Nibs - Raw Material,1,kg,prerefine,grinder,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,grind,,,,,,,,,,,,
,,,,,,Temper,Tempering,,,,,,,,,,,
Ceremonial Cacao (unroasted) (1kg),1,kg,Cacao Beans,1.1,kg,winnow raw cacao beans,winnower,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,grind for 8-10 hours,grinder,,,,,,,,,,,
,,,,,,Temper,Tempering,,,,,,,,,,,
Chocolate Table Rounds 7.5g (1kg/pack) - Melia,1,kg,Cacao Nibs - Raw Material,1,kg,Temper,Tempering,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,,,,,,,,,,,,,
Couverture 70% Dark Chocolate (1kg),1,kg,Base - 70% Dark Chocolate,1,kg,Temper,Tempering,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,,,,,,,,,,,,,
Couverture 85% Dark Chocolate (1kg),1,kg,Base - 85% Dark Chocolate,1,kg,Temper,Tempering,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,,,,,,,,,,,,,
Couverture Signature Milk Chocolate 50% (1kg),1,kg,Base - Milk Chocolate,1,kg,Temper,Tempering,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,,,,,,,,,,,,,
Couverture Simply Cacao Plus Milk (1kg),1,kg,Base - Sugar Free,1,kg,Temper,Tempering,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,,,,,,,,,,,,,
Couverture Thai Tea (1kg),1,kg,Base - Milk Chocolate,981,g,Temper,Tempering,,,,,,,,,,,
,,,Thai Tea Powder,19,g,,,,,,,,,,,,,
,,,Vacuum Pack Bags,1,unit,,,,,,,,,,,,,
Signature Dark 70% Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - 70% Dark Chocolate,75,g,Temper,Tempering,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Signature Dark 85% Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - 85% Dark Chocolate,75,g,Temper,Tempering,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Thai Bullet Chili Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - 70% Dark Chocolate,74.258,g,Temper,Tempering,,,,,,,,,,,
,,,Chili Powder,0.743,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Coconut Milk 65% Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - Coconut Milk Chocolate,69.375,g,Temper,Tempering,,,,,,,,,,,
,,,Dried Coconut Flakes,5.625,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Signature Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,75,g,Temper,Tempering,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Coffee Crunch Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,73.53,g,Temper,Tempering,,,,,,,,,,,
,,,Coffee Beans,1.47,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Masala Chai Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,69.606,g,Temper,Tempering,,,,,,,,,,,
,,,Clove Oil,0.062,g,,,,,,,,,,,,,
,,,Ginger Oil,0.367,g,,,,,,,,,,,,,
,,,Cinnamon Powder,3.3,g,,,,,,,,,,,,,
,,,Allspice Powder,0.74,g,,,,,,,,,,,,,
,,,Star Anise Powder,0.74,g,,,,,,,,,,,,,
,,,Cardamom Powder,0.185,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Thai Tea Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,74.11,g,Temper,Tempering,,,,,,,,,,,
,,,Thai Tea Powder,0.89,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Mango Chili Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - 70% Dark Chocolate,64.913,g,Temper,Tempering,,,,,,,,,,,
,,,"Mango, Dried",9.735,g,,,,,,,,,,,,,
,,,Chili Powder,0.225,g,,,,,,,,,,,,,
,,,Salt,0.128,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Hill Coffee and Pomelo Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - Pomelo,68.25,g,Temper,Tempering,,,,,,,,,,,
,,,"Pomelo, Dried",6.75,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Peanut Curry Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - 70% Dark Chocolate,61.937,g,Temper,Tempering,,,,,,,,,,,
,,,Peanuts,6.195,g,,,,,,,,,,,,,
,,,"Ginger, Dried",6.195,g,,,,,,,,,,,,,
,,,Cinnamon Powder,0.188,g,,,,,,,,,,,,,
,,,Chili Powder,0.063,g,,,,,,,,,,,,,
,,,Curry Powder,0.27,g,,,,,,,,,,,,,
,,,Lemongrass Oil,0.09,g,,,,,,,,,,,,,
,,,Clove Oil,0.063,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Coconut Curry Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - Coconut Milk Chocolate,62.111,g,Temper,Tempering,,,,,,,,,,,
,,,"Tomato, Dried",6.21,g,,,,,,,,,,,,,
,,,Dried Coconut Flakes,6.21,g,,,,,,,,,,,,,
,,,Galangal Oil,0.15,g,,,,,,,,,,,,,
,,,Chili Powder,0.128,g,,,,,,,,,,,,,
,,,Lemongrass Oil,0.128,g,,,,,,,,,,,,,
,,,Kaffir Lime Oil,0.064,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Durian Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,73.17,g,Temper,Tempering,,,,,,,,,,,
,,,Durian Powder,1.83,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Khao Soi Curry Milk Chocolate  (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,67.683,g,Temper,Tempering,,,,,,,,,,,
,,,Khao Soi Crispy Noodles,4.74,g,,,,,,,,,,,,,
,,,"Shallots, Dried",2.033,g,,,,,,,,,,,,,
,,,Curry Powder,0.405,g,,,,,,,,,,,,,
,,,Chili Powder,0.105,g,,,,,,,,,,,,,
,,,Salt,0.035,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Banana Crunch Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,66.375,g,Temper,Tempering,,,,,,,,,,,
,,,Banana Powder,1.988,g,,,,,,,,,,,,,
,,,Banana Chips,6.638,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Tom Yum Dark Chocolate (75g) - FLOW WRAP,1,bar,Base - 70% Dark Chocolate,66.483,g,Temper,Tempering,,,,,,,,,,,
,,,Tom Yum Powder,1.663,g,,,,,,,,,,,,,
,,,"Tomato, Dried",6.653,g,,,,,,,,,,,,,
,,,Lemongrass Oil,0.067,g,,,,,,,,,,,,,
,,,Kaffir Lime Oil,0.067,g,,,,,,,,,,,,,
,,,Galangal Oil,0.067,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Smash Daddy's Banana Split Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,63.03,g,Temper,Tempering,,,,,,,,,,,
,,,Banana Chips,3.15,g,,,,,,,,,,,,,
,,,Peanuts,3.15,g,,,,,,,,,,,,,
,,,"Strawberries, Dried",3.15,g,,,,,,,,,,,,,
,,,"Strawberries, Freeze Dried",0.63,g,,,,,,,,,,,,,
,,,Banana Powder,1.89,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Simply Cacao Plus Milk - Paleo Robbie (75g) - FLOW WRAP,1,bar,Base - Sugar Free,75,g,Temper,Tempering,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Simply Cacao Plus Milk with Vanilla Bean - Paleo Robbie (75g) - FLOW WRAP,1,bar,Base - Sugar Free,74.48,g,Temper,Tempering,,,,,,,,,,,
,,,Vanilla Oil,0.52,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Simply Cacao Plus Milk with Almonds and Sea Salt - Paleo Robbie (75g) - FLOW WRAP,1,bar,Base - Sugar Free,68.122,g,Temper,Tempering,,,,,,,,,,,
,,,"Almonds, Chopped",6.81,g,,,,,,,,,,,,,
,,,Pink Salt,0.068,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,56.183,g,Temper,Tempering,,,,,,,,,,,
,,,Mango Jelly,11.235,g,,,,,,,,,,,,,
,,,Popping Candy,7.583,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Mooncake Milk Chocolate (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,62.09,g,Temper,Tempering,,,,,,,,,,,
,,,Lotus Seed,3.35,g,,,,,,,,,,,,,
,,,Salted Egg Powder,3.35,g,,,,,,,,,,,,,
,,,Sunflower Seeds,6.21,g,,,,,,,,,,,,,
,,,Flow Wrap Foil,3,g,,,,,,,,,,,,,
Apple Pie Milk Chocolate - Halloween (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,62.137,g,Temper,Tempering,,,,,,,,,,,
,,,Biscuit,3.195,g,,,,,,,,,,,,,
,,,Dried Apple,6.383,g,,,,,,,,,,,,,
,,,Cinnamon Powder,0.285,g,,,,,,,,,,,,,
,,,flow wrap Foil,3,g,,,,,,,,,,,,,
Gingerbread Cookie Milk Chocolate - Christmas (75g) - FLOW WRAP,1,bar,Base - Milk Chocolate,66.96,g,Temper,Tempering,,,,,,,,,,,
,,,Gingerbread Cookie,6.7,g,,,,,,,,,,,,,
,,,Cinnamon Powder,0.4,g,,,,,,,,,,,,,
,,,Ginger Powder,0.78,g,,,,,,,,,,,,,
,,,Clove Powder,0.16,g,,,,,,,,,,,,,
,,,flow wrap Foil,3,g,,,,,,,,,,,,,
German Chocolate Cake 70% Dark Chocolate - Christmas (75g) - FLOW WRAP,1,bar,Base - 70% Dark Chocolate,58.62,g,Temper,Tempering,,,,,,,,,,,
,,,Pecans,5.85,g,,,,,,,,,,,,,
,,,Dried Coconut Flakes,4.68,g,,,,,,,,,,,,,
,,,Toffee,5.85,g,,,,,,,,,,,,,
,,,Flow wrap Foil,3,g,,,,,,,,,,,,,
Signature Dark 70% Dark Chocolate (75g),1,bar,Signature Dark 70% Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Dark 70% (75g),1,piece,,,,,,,,,,,,,
Signature Dark 85% Dark Chocolate (75g),1,bar,Signature Dark 85% Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Dark 85% (75g),1,piece,,,,,,,,,,,,,
Thai Bullet Chili Dark Chocolate (75g),1,bar,Thai Bullet Chili Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Thai Bullet Chili (75g),1,piece,,,,,,,,,,,,,
Coconut Milk 65% Dark Chocolate (75g),1,bar,Coconut Milk 65% Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Coconut Milk (75g),1,piece,,,,,,,,,,,,,
Signature Milk Chocolate (75g),1,bar,Signature Milk Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Milk (75g),1,piece,,,,,,,,,,,,,
Coffee Crunch Milk Chocolate (75g),1,bar,Coffee Crunch Milk Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Coffee Crunch (75g),1,piece,,,,,,,,,,,,,
Masala Chai Milk Chocolate (75g),1,bar,Masala Chai Milk Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Masala Chai (75g),1,piece,,,,,,,,,,,,,
Thai Tea Milk Chocolate (75g),1,bar,Thai Tea Milk Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Thai Tea (75g),1,piece,,,,,,,,,,,,,
Mango Chili Dark Chocolate (75g),1, bar,Mango Chili Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Mango Chili (75g),1,piece,,,,,,,,,,,,,
Hill Coffee and Pomelo Dark Chocolate (75g),1,bar,Hill Coffee and Pomelo Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Hill Coffee and Pomelo (75g),1,piece,,,,,,,,,,,,,
Peanut Curry Dark Chocolate (75g),1,bar,Peanut Curry Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Peanut Curry (75g),1,piece,,,,,,,,,,,,,
Coconut Curry Dark Chocolate (75g),1,bar,Coconut Curry Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Coconut Curry (75g),1,piece,,,,,,,,,,,,,
Durian Milk Chocolate (75g),1,bar,Durian Milk Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Durian (75g),1,piece,,,,,,,,,,,,,
Khao Soi Curry Milk Chocolate  (75g),1,bar,Khao Soi Curry Milk Chocolate  (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Khao Soi (75g),1,piece,,,,,,,,,,,,,
Banana Crunch Milk Chocolate (75g),1,bar,Banana Crunch Milk Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Banana Crunch (75g),1,piece,,,,,,,,,,,,,
Tom Yum Dark Chocolate (75g),1,bar,Tom Yum Dark Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Tom Yum (75g),1,piece,,,,,,,,,,,,,
Smash Daddy's Banana Split Milk Chocolate (75g),1,bar,Smash Daddy's Banana Split Milk Chocolate (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Smash Daddy's Banana Split (75g),1,piece,,,,,,,,,,,,,
Simply Cacao Plus Milk - Paleo Robbie (75g),1,bar,Simply Cacao Plus Milk - Paleo Robbie (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Simply Cacao Plus Milk - Paleo Robbie (75g),1,piece,,,,,,,,,,,,,
,,,Stickers - Clear,1,piece,,,,,,,,,,,,,
Simply Cacao Plus Milk with Vanilla Bean - Paleo Robbie (75g),1,bar,Simply Cacao Plus Milk with Vanilla Bean - Paleo Robbie (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Simply Cacao Vanilla - Paleo Robbie (75g),1,piece,,,,,,,,,,,,,
,,,Stickers - Clear,1,piece,,,,,,,,,,,,,
Simply Cacao Plus Milk with Almonds and Sea Salt - Paleo Robbie (75g),1,bar,Simply Cacao Plus Milk with Almonds and Sea Salt - Paleo Robbie (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Simply Cacao Almonds - Paleo Robbie (75g),1,piece,,,,,,,,,,,,,
,,,Stickers - Clear,1,piece,,,,,,,,,,,,,
Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),1,bar,Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Mango Jelly Popping Candy Milk Chocolate - Loi Kratong (75g),1,piece,,,,,,,,,,,,,
Mooncake Milk Chocolate (75g),1,bar,Mooncake Milk Chocolate (75g),1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Mooncake (75g),1,piece,,,,,,,,,,,,,
Apple Pie Milk Chocolate - Halloween (75g),1,bar,Apple Pie Milk Chocolate - Halloween (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Apple Pie Milk Chocolate - Halloween (75g),1,piece,,,,,,,,,,,,,
Gingerbread Cookie Milk Chocolate - Christmas (75g) - FLOW WRAP,1,bar,Gingerbread Cookie Milk Chocolate - Christmas (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Gingerbread Cookie Milk Chocolate - Christmas (75g),1,piece,,,,,,,,,,,,,
German Chocolate Cake 70% Dark Chocolate - Christmas (75g) - FLOW WRAP,1,bar,German Chocolate Cake 70% Dark Chocolate - Christmas (75g) - FLOW WRAP,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - German Chocolate Cake 70% Dark Chocolate - Christmas (75g),1,piece,,,,,,,,,,,,,
Signature Dark 85% Dark Chocolate (20g) - GOLD FOIL,1,bar,Base - 85% Dark Chocolate,20,g,Temper,Tempering,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Signature Dark 70% Dark Chocolate (20g) - GOLD FOIL,1,bar,Base - 70% Dark Chocolate,20,g,Temper,Tempering,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Thai Bullet Chili Dark Chocolate (20g) - GOLD FOIL,1,bar,Base - 70% Dark Chocolate,19.827,g,Temper,Tempering,,,,,,,,,,,
,,,Chili Powder,0.198,g,,,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Coconut Milk 65% Dark chocolate (20g) - GOLD FOIL,1,bar,Base - Coconut Milk Chocolate,18.523,g,Temper,Tempering,,,,,,,,,,,
,,,Dried Coconut Flakes,1.502,g,,,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Signature Milk Chocolate (20g) - GOLD FOIL,1,bar,Base - Milk Chocolate,20,g,Temper,Tempering,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Coffee Crunch Milk Chocolate (20g) - GOLD FOIL,1,bar,Base - Milk Chocolate,19.633,g,Temper,Tempering,,,,,,,,,,,
,,,Coffee Beans,0.392,g,,,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Masala Chai Milk Chocolate (20g) - GOLD FOIL,1,bar,Base - Milk Chocolate,18.585,g,Temper,Tempering,,,,,,,,,,,
,,,Clove Oil,0.017,g,,,,,,,,,,,,,
,,,Ginger Oil,0.098,g,,,,,,,,,,,,,
,,,Cinnamon Powder,0.881,g,,,,,,,,,,,,,
,,,Allspice Powder,0.198,g,,,,,,,,,,,,,
,,,Star Anise Powder,0.198,g,,,,,,,,,,,,,
,,,Cardamom Powder,0.049,g,,,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Thai Tea Milk Chocolate (20g) - GOLD FOIL,1,bar,Base - Milk Chocolate,19.787,g,Temper,Tempering,,,,,,,,,,,
,,,Thai Tea Powder,0.238,g,,,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Durian Milk Chocolate (20g) - GOLD FOIL,1,bar,Base - Milk Chocolate,19.536,g,Temper,Tempering,,,,,,,,,,,
,,,Durian Powder,0.489,g,,,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Banana Milk Chocolate (20g) - GOLD FOIL,1,bar,Base - Milk Chocolate,18.87,g,Temper,Tempering,,,,,,,,,,,
,,,Banana Powder,1.13,g,,,,,,,,,,,,,
,,,Gold Paper - Small Bar,1,g,,,,,,,,,,,,,
Signature Dark 85% Dark Chocolate (20g),1,bar,Signature Dark 85% Dark Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Dark 85% (20g),1,piece,,,,,,,,,,,,,
Signature Dark 70% Dark Chocolate (20g),1,bar,Signature Dark 70% Dark Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Dark 70% (20g),1,piece,,,,,,,,,,,,,
Thai Bullet Chili Dark Chocolate (20g),1,bar,Thai Bullet Chili Dark Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Thai Bullet Chili (20g),1,piece,,,,,,,,,,,,,
Coconut Milk 65% Dark chocolate (20g),1,bar,Coconut Milk 65% Dark chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
