id,type,code,product_tmpl_id/id,product_tmpl_id/name,product_qty,product_uom_id,bom_line_ids/product_id/id,bom_line_ids/product_id/name,bom_line_ids/product_qty,bom_line_ids/product_uom_id,byproduct_ids,,,,,,,
,,,Wrapper - Coconut Milk (20g),1,piece,,,,,,,,,,,,,
Signature Milk Chocolate (20g),1,bar,Signature Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Signature Milk (20g),1,piece,,,,,,,,,,,,,
Coffee Crunch Milk Chocolate (20g),1,bar,Coffee Crunch Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Coffee Crunch (20g),1,piece,,,,,,,,,,,,,
Masala Chai Milk Chocolate (20g),1,bar,Masala Chai Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Masala Chai (20g),1,piece,,,,,,,,,,,,,
Thai Tea Milk Chocolate (20g),1,bar,Thai Tea Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Thai Tea (20g),1,piece,,,,,,,,,,,,,
Durian Milk Chocolate (20g),1,bar,Durian Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Durian (20g),1,piece,,,,,,,,,,,,,
Banana Milk Chocolate (20g),1,bar,Banana Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Wrapper - Banana (20g),1,piece,,,,,,,,,,,,,
Chiang Mai Chocolate Collection,1,unit,Signature Dark 70% (20g)  - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Signature Dark 85% (20g) - GOLD FOIL,1,bar,Assemble,,,,,,,,,,,,
,,,Coconut Milk 65% Dark chocolate (20g)  - GOLD FOIL,1,bar,,,,,,,,,,,,,
,,,Wrapper - Signature Dark 70%,,,,,,,,,,,,,,,
,,,Wrapper - Signature Dark 85% (20g),,,,,,,,,,,,,,,
,,,Wrapper - Coconut Milk (20g),,,,,,,,,,,,,,,
,,,Stickers - Clear,2,piece,,,,,,,,,,,,,
,,,White Inner Box,1,piece,,,,,,,,,,,,,
,,,Chiang Mai Dark Chocolate Box,1,piece,,,,,,,,,,,,,
Taste of Thailand Chocolate Collection,1,unit,Signature Dark 70% (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Thai Tea Milk Chocolate (20g) - GOLD FOIL,1,bar,Assemble,,,,,,,,,,,,
,,,Thai Bullet Chili Dark Chocolate (20g) - GOLD FOIL,1,bar,,,,,,,,,,,,,
,,,Signature Dark 70% (20g)  - GOLD FOIL,,,,,,,,,,,,,,,
,,,Wrapper - Thai Tea (20g),,,,,,,,,,,,,,,
,,,Wrapper - Thai Bullet Chili (20g),,,,,,,,,,,,,,,
,,,Stickers - Clear,2,piece,,,,,,,,,,,,,
,,,White Inner Box,1,piece,,,,,,,,,,,,,
,,,Taste of Thailand Box,1,piece,,,,,,,,,,,,,
Tea & Coffee Chocolate Collection,1,unit,Coffee Crunch Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Thai Tea Milk Chocolate (20g) - GOLD FOIL,1,bar,Assemble,,,,,,,,,,,,
,,,Masala Chai Milk Chocolate (20g) - GOLD FOIL,1,bar,,,,,,,,,,,,,
,,,Wrapper - Coffee Crunch (20g),1,piece,,,,,,,,,,,,,
,,,Wrapper - Thai Tea (20g),1,piece,,,,,,,,,,,,,
,,,Wrapper - Masala Chai (20g),1,piece,,,,,,,,,,,,,
,,,Stickers - Clear,2,piece,,,,,,,,,,,,,
,,,White Inner Box,1,piece,,,,,,,,,,,,,
,,,Tea & Coffee Box,1,piece,,,,,,,,,,,,,
Tropical Fruit Chocolate Collection,1,unit,Durian Milk Chocolate (20g) - GOLD FOIL,1,bar,Wrap,Wrapping,,,,,,,,,,,
,,,Banana Milk Chocolate (20g) - GOLD FOIL,1,bar,Assemble,,,,,,,,,,,,
,,,Coconut Milk 65% Dark chocolate (20g) - GOLD FOIL,1,bar,,,,,,,,,,,,,
,,,Wrapper - Durian (20g),1,piece,,,,,,,,,,,,,
,,,Wrapper - Banana (20g),1,piece,,,,,,,,,,,,,
,,,Wrapper - Coconut Milk (20g),1,piece,,,,,,,,,,,,,
,,,Stickers - Clear,2,piece,,,,,,,,,,,,,
,,,White Inner Box,1,piece,,,,,,,,,,,,,
,,,Tropical Fruit Box,1,piece,,,,,,,,,,,,,
Cacao Nibs 80g,1,bag,Cacao Nibs - Raw Material,80,g,Mix,Powders,,,,,,,,,,,
,,,"Paper Bag w/ Window 4.75"" x 8""",1,piece,Pack,,,,,,,,,,,,
,,,Stickers - Cacao Nibs - Retail (80g),1,piece,,,,,,,,,,,,,
Cacao Nibs 250g,1,bag,Cacao Nibs - Raw Material,250,g,Mix,Powders,,,,,,,,,,,
,,,Bag Expandable Sides (13*20cm),1,piece,Pack,,,,,,,,,,,,
,,,Stickers - Cacao Nibs - Retail (250g),2,piece,,,,,,,,,,,,,
Cacao Nibs 1kg - Retail,1,bag,Cacao Nibs - Raw Material,1,kg,Mix,Powders,,,,,,,,,,,
,,,"Silver Bag 12"" x 9"" - 1kg powders",1,piece,Pack,,,,,,,,,,,,
Cacao Powder 80g,1,bag,Cacao Powder KD30,72,g,Mix,Powders,,,,,,,,,,,
,,,Cacao Powder Chocolasia,8,g,Pack,,,,,,,,,,,,
,,,"Paper Bag w/ Window 4.75"" x 8""",1,piece,,,,,,,,,,,,,
,,,Stickers - Cacao Powder - Retail (80g),1,piece,,,,,,,,,,,,,
Cacao Powder 250g,1,bag,Cacao Powder KD30,225,g,Mix,Powders,,,,,,,,,,,
,,,Cacao Powder Chocolasia,25,g,Pack,,,,,,,,,,,,
,,,Bag Expandable Sides (13*20cm),1,piece,,,,,,,,,,,,,
,,,Stickers - Cacao Powder - Retail (250g),2,piece,,,,,,,,,,,,,
Cacao Powder 1kg - Retail,1,bag,Cacao Powder KD30,900,g,Mix,Powders,,,,,,,,,,,
,,,Cacao Powder Chocolasia,100,g,Pack,,,,,,,,,,,,
,,,"Silver Bag 12"" x 9"" - 1kg powders",1,piece,,,,,,,,,,,,,
Drinking Chocolate 250g,1,bag,Cacao Powder 666,123.75,g,Mix,Powders,,,,,,,,,,,
,,,Cacao Powder Chocolasia,13.75,g,Pack,,,,,,,,,,,,
,,,Organic Cane Sugar,111.25,g,,,,,,,,,,,,,
,,,Salt,1.25,g,,,,,,,,,,,,,
,,,Bag Expandable Sides (13*20cm),1,piece,,,,,,,,,,,,,
,,,Stickers - Drinking Chocolate - Retail (250g),2,piece,,,,,,,,,,,,,
Drinking Chocolate 300g (Hotel exclusive,1,bag,Cacao Powder 666,148.5,g,Mix,Powders,,,,,,,,,,,
,,,Cacao Powder Chocolasia,16.5,g,Pack,,,,,,,,,,,,
,,,Organic Cane Sugar,133.5,g,,,,,,,,,,,,,
,,,Salt,1.5,g,,,,,,,,,,,,,
,,,"Silver Bag 12"" x 9"" - 1kg powders",0.5,piece,,,,,,,,,,,,,
Drinking Chocolate 1kg,1,bag,Cacao Powder 666,495,g,Mix,Powders,,,,,,,,,,,
,,,Cacao Powder Chocolasia,55,g,Pack,,,,,,,,,,,,
,,,Organic Cane Sugar,445,g,,,,,,,,,,,,,
,,,Salt,5,g,,,,,,,,,,,,,
,,,"Silver Bag 12"" x 9"" - 1kg powders",1,piece,,,,,,,,,,,,,
Mango Jelly Coated with Dark Chocolate (70g),1,tin,Mango Jelly,53,g,Coat,Coating,,,,,,,,,,,
,,,Base - 70% Dark Chocolate,16,g,Pack,,,,,,,,,,,,
,,,Shellac,1,g,,,,,,,,,,,,,
,,,Tin for Mango Jelly,1,piece,,,,,,,,,,,,,
,,,Stickers - Mango Jelly (70g),2,piece,,,,,,,,,,,,,
Dark Chocolate Dipped Candied Orange (45g),1,bag,Candied Orange,30,g,Dip,Tempering - OTHER,,,,,,,,,,,
,,,Base - 70% Dark Chocolate,15,g,Pack,,,,,,,,,,,,
,,,Stickers - Chocolate Dipped Orange,1,piece,,,,,,,,,,,,,
,,,"Clear Plastic Bag 3"" x 6"" (Chocolate Dipped Orange)",1,piece,,,,,,,,,,,,,
85% Dark Chocolate (8g) - UNWRAPPED,1,piece,Base - 85% Dark Chocolate,8,g,Temper,Tempering,,,,,,,,,,,
Thai Tea Milk Chocolate (8g) - UNWRAPPED,1,piece,Base - Milk Chocolate,74.905,g,Temper,Tempering,,,,,,,,,,,
,,,Thai Tea Powder,0.095,g,,,,,,,,,,,,,
Signature Milk Chocolate (8g) - UNWRAPPED,1,piece,Base - Milk Chocolate,8,g,Temper,Tempering,,,,,,,,,,,
Masala Chai Milk Chocolate (8g) - UNWRAPPED,1,piece,Base - Milk Chocolate,7.434,g,Temper,Tempering,,,,,,,,,,,
,,,Clove Oil,0.007,g,,,,,,,,,,,,,
,,,Ginger Oil,0.037,g,,,,,,,,,,,,,
,,,Cinnamon Powder,0.350,g,,,,,,,,,,,,,
,,,Allspice Powder,0.078,g,,,,,,,,,,,,,
,,,Star Anise Powder,0.078,g,,,,,,,,,,,,,
,,,Cardamom Powder,0.020,g,,,,,,,,,,,,,
Durian Milk Chocolate (8g) - UNWRAPPED,1,piece,Base - Milk Chocolate,7.8,g,Temper,Tempering,,,,,,,,,,,
,,,Durian Powder,0.2,g,,,,,,,,,,,,,
Coffee Crunch Milk Chocolate (8g) - UNWRAPPED,1,piece,Base - Milk Chocolate,7.853,g,Temper,Tempering,,,,,,,,,,,
,,,Coffee Beans,0.157,g,,,,,,,,,,,,,
70% Dark Chocolate (8g) - UNWRAPPED,1,piece,Base - 70% Dark Chocolate,8,g,Temper,Tempering,,,,,,,,,,,
Thai Bullet Chili Dark Chocolate (8g) - UNWRAPPED,1,piece,Base - 70% Dark Chocolate,7.931,g,Temper,Tempering,,,,,,,,,,,
,,,Chili Powder,0.079,g,,,,,,,,,,,,,
Coconut Milk 65% Dark Chocolate (8g) - UNWRAPPED,1,piece,Base - Coconut Milk Chocolate,7.409,g,Temper,Tempering,,,,,,,,,,,
,,,Dried Coconut Flakes,0.601,g,,,,,,,,,,,,,
Thai Tea Milk Chocolate (8g) - Mahabhirom,1,piece,Thai Tea Milk Chocolate (8g) - UNWRAPPED,1,piece,Wrap,Wrapping,,,,,,,,,,,
,,,Gold Paper - 8g,1,piece,,,,,,,,,,,,,
,,,Sleeve - Mahabhirom Thai Tea 8g,1,piece,,,,,,,,,,,,,
85% Dark Chocolate (8g) - Mahabhirom,1,piece,85% Dark Chocolate (8g) - UNWRAPPED,1,piece,Wrap,Wrapping,,,,,,,,,,,
,,,Gold Paper - 8g,1,piece,,,,,,,,,,,,,
,,,Sleeve - Mahabhirom 85% 8g,1,piece,,,,,,,,,,,,,
85% Dark Chocolate (8g) - Anantara ,1,piece,85% Dark Chocolate (8g) - UNWRAPPED,1,piece,Wrap,Wrapping,,,,,,,,,,,
,,,Gold Paper - 8g,1,piece,,,,,,,,,,,,,
,,,Sleeve - Anantara 85% 8g,1,piece,,,,,,,,,,,,,
Tasting Box,1,unit,Coffee Crunch Milk Chocolate (8g) - UNWRAPPED,1,piece,Wrap,Wrapping,,,,,,,,,,,
,,,70% Dark Chocolate (8g) - UNWRAPPED,1,piece,Assemble,,,,,,,,,,,,
,,,Thai Bullet Chili Dark Chocolate (8g) - UNWRAPPED,1,piece,,,,,,,,,,,,,
,,,Coconut Milk 65% Dark Chocolate (8g) - UNWRAPPED,1,piece,,,,,,,,,,,,,
,,,Durian Milk Chocolate (8g) - UNWRAPPED,1,piece,,,,,,,,,,,,,
,,,Signature Milk Chocolate (8g) - UNWRAPPED,1,piece,,,,,,,,,,,,,
,,,Masala Chai Milk Chocolate (8g) - UNWRAPPED,1,piece,,,,,,,,,,,,,
,,,85% Dark Chocolate (8g) - UNWRAPPED,1,piece,,,,,,,,,,,,,
,,,Thai Tea Milk Chocolate (8g) - UNWRAPPED,1,piece,,,,,,,,,,,,,
,,,Individual Box - Coffee Crunch Milk Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - 70% Dark Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - Thai Bullet Chili Dark Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - Coconut Milk 65% Dark Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - Durian Milk Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - Signature Milk Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - Masala Chai Milk Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - 85% Dark Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Individual Box - Thai Tea Milk Chocolate (8g),1,piece,,,,,,,,,,,,,
,,,Outer Packing for Tasting Box,1,piece,,,,,,,,,,,,,
,,,Stickers - Tasting Box FDA,1,piece,,,,,,,,,,,,,
,,,Shrink film (5.5 inch),1,g,,,,,,,,,,,,,
Paleo Robbie: Pineapple Pops (100g),1,bag,"Pineapple, Dried",65,g,Dip,Tempering - OTHER,,,,,,,,,,,
,,,Base - Sugar Free,30,g,Pack,,,,,,,,,,,,
,,,Plum Powder,5,g,,,,,,,,,,,,,
,,,Clear Bag - Long - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - Pineapple Pops - Paleo Robbie,1,piece,,,,,,,,,,,,,
Paleo Robbie: 70% Chocolate Coated Cashews (80g),1,bag,Cashews,25.41,g,Coat,Tempering - OTHER,,,,,,,,,,,
,,,Base - 70% Dark Chocolate,51.59,g,Pack,,,,,,,,,,,,
,,,Cacao Powder 666,3,g,,,,,,,,,,,,,
,,,Clear Bag - Short - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - 70% Coated Cashews - Paleo Robbie,1,piece,,,,,,,,,,,,,
Paleo Robbie: 70% Chocolate Coated Almonds (80g),1,bag,"Almonds, Whole",25.41,g,Coat,Tempering - OTHER,,,,,,,,,,,
,,,Base - 70% Dark Chocolate,51.59,g,Pack,,,,,,,,,,,,
,,,Cacao Powder 666,3,g,,,,,,,,,,,,,
,,,Clear Bag - Short - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - 70% Coated Almonds - Paleo Robbie,1,piece,,,,,,,,,,,,,
Paleo Robbie: Sugar Free 85% Chocolate Coated Cashew (80g),1,bag,Cashews,25.41,g,Coat,Tempering - OTHER,,,,,,,,,,,
,,,Base - Sugar Free,51.23,g,Pack,,,,,,,,,,,,
,,,Vanilla Oil,0.36,g,,,,,,,,,,,,,
,,,Cacao Powder 666,3,g,,,,,,,,,,,,,
,,,Clear Bag - Short - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - Sugar Free Cashews - Paleo Robbie,1,piece,,,,,,,,,,,,,
Paleo Robbie: Sugar Free 85% Chocolate Coated Almonds (80g),1,bag,"Almonds, Whole",25.41,g,Coat,Tempering - OTHER,,,,,,,,,,,
,,,Base - Sugar Free,51.59,g,Pack,,,,,,,,,,,,
,,,Cacao Powder 666,3,g,,,,,,,,,,,,,
,,,Clear Bag - Short - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - Sugar Free Almonds - Paleo Robbie,1,piece,,,,,,,,,,,,,
Paleo Robbie: Dark Choc Drizzled Banana Chips (100g),1,bag,Banana Chips,89.75,g,Dip,Tempering - OTHER,,,,,,,,,,,
,,,Base - 70% Dark Chocolate,10,g,Pack,,,,,,,,,,,,
,,,Pink Salt,0.25,g,,,,,,,,,,,,,
,,,Clear Bag - Long - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - Drizzled Banana Chips - Paleo Robbie,1,piece,,,,,,,,,,,,,
Paleo Robbie: Dark Chocolate Almond Butter Cups,1,kg,"Almonds, Chopped",266.60,g,Grind almonds,Grinder,,,,,,,,,,,
,,,Almond Powder,266.60,g,Temper,Tempering,,,,,,,,,,,
,,,Base - 70% Dark Chocolate,465.30,g,Pack,,,,,,,,,,,,
,,,Salt,1.5,g,,,,,,,,,,,,,
,,,Paper Baking Cups,5,piece,,,,,,,,,,,,,
,,,White Cake Box,0.5,piece,,,,,,,,,,,,,
Paleo Robbie: Hunky Monkey Trail Mix (100g),1,bag,Base - Sugar Free,25,g,Temper,Tempering - OTHER,,,,,,,,,,,
,,,Banana Chips,20,g,Mix,,,,,,,,,,,,
,,,Cashews,20,g,Pack,,,,,,,,,,,,
,,,Almonds,25,g,,,,,,,,,,,,,
,,,Pumpkin Seeds,10,g,,,,,,,,,,,,,
,,,Clear Bag - Long - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - Hunky Monkey Trail Mix - Paleo Robbie,1,piece,,,,,,,,,,,,,
Paleo Robbie: Banana Bites (100g),1,bag,Banana Sticks,60,g,Dip,Tempering - OTHER,,,,,,,,,,,
,,,Base - Sugar Free,30,g,Pack,,,,,,,,,,,,
,,,Dried Coconut Flakes,10,g,,,,,,,,,,,,,
,,,Clear Bag - Long - Paleo Robbie,1,piece,,,,,,,,,,,,,
,,,Sticker - Banana Bites - Paleo Robbie,1,piece,,,,,,,,,,,,,
Sample Cubes - 70% Dark Chocolate,1,kg,Base - 70% Dark Chocolate,1,kg,Temper,Tempering,,,,,,,,,,,
Sample Cubes - 85% Dark Chocolate,1,kg,Base - 85% Dark Chocolate,1,kg,Temper,Tempering,,,,,,,,,,,
Sample Cubes - Thai Bullet Chili Dark Chocolate,1,kg,Base - 70% Dark Chocolate,995,g,Temper,Tempering,,,,,,,,,,,
,,,Chili Powder,5,g,,,,,,,,,,,,,
Sample Cubes - Coconut Milk 65% Dark Chocolate,1,kg,Base - Coconut Milk Chocolate,920,g,Temper,Tempering,,,,,,,,,,,
,,,Dried Coconut Flakes,80,g,,,,,,,,,,,,,
Sample Cubes - Signature Milk Chocolate,1,kg,Base - Milk Chocolate,1,kg,Temper,Tempering,,,,,,,,,,,
Sample Cubes - Coffee Crunch Milk Chocolate,1,kg,Base - Milk Chocolate,980,g,Temper,Tempering,,,,,,,,,,,
,,,Coffee Beans,20,g,,,,,,,,,,,,,
Sample Cubes - Masala Chai Milk Chocolate,1,kg,Base - Milk Chocolate,929,g,Temper,Tempering,,,,,,,,,,,
,,,Clove Oil,0.83,g,,,,,,,,,,,,,
,,,Ginger Oil,4.90,g,,,,,,,,,,,,,
,,,Cinnamon Powder,43,g,,,,,,,,,,,,,
,,,Allspice Powder,9.88,g,,,,,,,,,,,,,
,,,Star Anise Powder,9.88,g,,,,,,,,,,,,,
,,,Cardamom Powder,2.47,g,,,,,,,,,,,,,
Sample Cubes - Thai Tea Milk Chocolate,1,kg,Base - Milk Chocolate,988,g,Temper,Tempering,,,,,,,,,,,
,,,Thai Tea Powder,12,g,,,,,,,,,,,,,
Sample Cubes - Mango Chili Dark Chocolate,1,kg,Base - 70% Dark Chocolate,865.5,g,Temper,Tempering,,,,,,,,,,,
,,,"Mango, Dried",129.8,g,,,,,,,,,,,,,
,,,Chili Powder,3,g,,,,,,,,,,,,,
,,,Salt,1.7,g,,,,,,,,,,,,,
Sample Cubes - Hill Coffee and Pomelo Dark Chocolate,1,kg,Base - Pomelo,910,g,Temper,Tempering,,,,,,,,,,,
,,,"Pomelo, Dried",90,g,,,,,,,,,,,,,
Sample Cubes - Peanut Curry Dark Chocolate,1,kg,Base - 70% Dark Chocolate,825.829,g,Temper,Tempering,,,,,,,,,,,
,,,Peanuts,82.6,g,,,,,,,,,,,,,
,,,"Ginger, Dried",82.6,g,,,,,,,,,,,,,
,,,Cinnamon Powder,2.5,g,,,,,,,,,,,,,
,,,Chili Powder,0.836,g,,,,,,,,,,,,,
,,,Curry Powder,3.6,g,,,,,,,,,,,,,
,,,Lemongrass Oil,1.2,g,,,,,,,,,,,,,
,,,Clove Oil,0.836,g,,,,,,,,,,,,,
Sample Cubes - Coconut Curry Dark Chocolate,1,kg,Base - Coconut Milk Chocolate,828.140,g,Temper,Tempering,,,,,,,,,,,
,,,"Tomato, Dried",82.8,g,,,,,,,,,,,,,
,,,Dried Coconut Flakes,82.8,g,,,,,,,,,,,,,
,,,Galangal Oil,2,g,,,,,,,,,,,,,
,,,Chili Powder,1.7,g,,,,,,,,,,,,,
,,,Lemongrass Oil,1.707,g,,,,,,,,,,,,,
,,,Kaffir Lime Oil,0.853,g,,,,,,,,,,,,,
Sample Cubes - Durian Milk Chocolate ,1,kg,Base - Milk Chocolate,976,g,Temper,Tempering,,,,,,,,,,,
,,,Durian Powder,24,g,,,,,,,,,,,,,
Sample Cubes - Khao Soi Curry Milk Chocolate ,1,kg,Base - Milk Chocolate,902.433,g,Temper,Tempering,,,,,,,,,,,
,,,Khao Soi Crispy Noodles,63.2,g,,,,,,,,,,,,,
,,,"Shallots, Dried",27.1,g,,,,,,,,,,,,,
,,,Curry Powder,5.4,g,,,,,,,,,,,,,
,,,Chili Powder,1.4,g,,,,,,,,,,,,,
,,,Salt,0.467,g,,,,,,,,,,,,,
Sample Cubes - Banana Crunch Milk Chocolate ,1,kg,Base - Milk Chocolate,885,g,Temper,Tempering,,,,,,,,,,,
,,,Banana Powder,26.5,g,,,,,,,,,,,,,
,,,Banana Chips,88.5,g,,,,,,,,,,,,,
Sample Cubes - Tom Yum Dark Chocolate,1,kg,Base - 70% Dark Chocolate,886.443,g,Temper,Tempering,,,,,,,,,,,
,,,Tom Yum Powder,22.175,g,,,,,,,,,,,,,
,,,"Tomato, Dried",88.7,g,,,,,,,,,,,,,
,,,Lemongrass Oil,0.893,g,,,,,,,,,,,,,
,,,Kaffir Lime Oil,0.893,g,,,,,,,,,,,,,
,,,Galangal Oil,0.893,g,,,,,,,,,,,,,
Sample Cubes - Smash Daddy's Banana Split Milk Chocolate,1,kg,Base - Milk Chocolate,840.40,g,Temper,Tempering,,,,,,,,,,,
,,,Banana Chips,42,g,,,,,,,,,,,,,
,,,Peanuts,42,g,,,,,,,,,,,,,
,,,"Strawberries, Dried",42,g,,,,,,,,,,,,,
,,,"Strawberries, Freeze Dried",8.4,g,,,,,,,,,,,,,
,,,Banana Powder,25.2,g,,,,,,,,,,,,,
Sample Cubes - Paleo Robbie: Simply Cacao Plus Milk,1,kg,Base - Sugar Free,1,kg,Temper,Tempering,,,,,,,,,,,
Sample Cubes - Paleo Robbie: Simply Cacao Plus Milk with Vanilla Bean,1,kg,Base - Sugar Free,993.064,g,Temper,Tempering,,,,,,,,,,,
,,,Vanilla Oil,6.936,g,,,,,,,,,,,,,
Sample Cubes - Paleo Robbie: Simply Cacao Plus Milk with Almonds and Sea Salt,1,kg,Base - Sugar Free,908.296,g,Temper,Tempering,,,,,,,,,,,
,,,"Almonds, Chopped",90.798,g,,,,,,,,,,,,,
,,,Pink Salt,0.907,g,,,,,,,,,,,,,
Sample Cubes - Mango Jelly Popping Candy Milk Chocolate,1,kg,Base - Milk Chocolate,749.1063,g,Temper,Tempering,,,,,,,,,,,
,,,Mango Jelly,149.7963,g,,,,,,,,,,,,,
,,,Popping Candy,101.0975,g,,,,,,,,,,,,,
Sample Cubes - Mooncake Milk Chocolate,1,kg,Base - Milk Chocolate,827.871,g,Temper,Tempering,,,,,,,,,,,
,,,Lotus Seed,44.666,g,,,,,,,,,,,,,
,,,Salted Egg Powder,44.666,g,,,,,,,,,,,,,
,,,Sunflower Seeds,82.798,g,,,,,,,,,,,,,
Sample Cubes - Apple Pie Milk Chocolate (Halloween 2025),1,kg,Base - Milk Chocolate,868.497,g,Temper,Tempering,,,,,,,,,,,
,,,Biscuit,42.599,g,,,,,,,,,,,,,
,,,Dried Apple,85.105,g,,,,,,,,,,,,,
,,,Cinnamon Powder,3.800,g,,,,,,,,,,,,,
Sample Cubes - Gingerbread Cookie Milk Chocolate (Xmas 2024 + 2025),1,kg,Base - Milk Chocolate,892.803,g,Temper,Tempering,,,,,,,,,,,
,,,Gingerbread Cookie,89.331,g,,,,,,,,,,,,,
,,,Cinnamon Powder,5.333,g,,,,,,,,,,,,,
,,,Ginger Powder,10.400,g,,,,,,,,,,,,,
,,,Clove Powder,2.133,g,,,,,,,,,,,,,
Sample Cubes - German Chocolate Cake Dark Chocolate (Xmas 2025),1,kg,Base - 70% Dark Chocolate,781.601,g,Temper,Tempering,,,,,,,,,,,
,,,Pecans,78.000,g,,,,,,,,,,,,,
,,,Dried Coconut Flakes,62.400,g,,,,,,,,,,,,,
,,,Toffee,78.000,g,,,,,,,,,,,,,
Dark Chocolate 8 Bars Collection,,,,,,,,,,,,,,,,,,
Fantastic Flavors 8 Bars Collections,,,,,,,,,,,,,,,,,,
Thai Curry Chocolate Bar Collection,,,,,,,,,,,,,,,,,,
Chocolate Bento Gift Box,,,,,,,,,,,,,,,,,,
Chocolate Box: Anantara Chiang Mai Resort,,,,,,,,,,,,,,,,,,
Chocolate Fondue Set,,,,,,,,,,,,,,,,,,
Snack Magic: Tea & Chocolate Treats,,,,,,,,,,,,,,,,,,
Snack Magic: Chocolate Fondue Date Night Set,,,,,,,,,,,,,,,,,,
Snack Magic: Chocolate Lover,,,,,,,,,,,,,,,,,,
Snack Magic: Vegan Chocolicious,,,,,,,,,,,,,,,,,,
Cacao Hot Sauce,1,bottle,Cacao Hot Sauce (90ml),1,,Wrap,Wrapping,,,,,,,,,,,
,,,Stickers - Cacao Hot Sauce,1,,,,,,,,,,,,,,
all bars with belly bands (done in finished goods room),,,,,,,,,,,,,,,,,,
